Tanggal (UTC),Jenis,Bujur,Lintang
01:27.0,Negative Cloud to Ground,"134,693026","-4,103826119"
01:27.0,Negative Cloud to Ground,"134,9331009","-4,095857568"
02:23.0,Negative Cloud to Ground,"134,6286285","-4,053985138"
02:56.0,Positive Cloud to Ground,"134,8451301","-3,586730496"
03:13.0,Intra/Inter Cloud,"134,8562971","-3,635087581"
03:13.0,Negative Cloud to Ground,"134,867595","-3,740292274"
04:33.0,Intra/Inter Cloud,"134,5513567","-3,911238007"
04:33.0,Negative Cloud to Ground,"134,6152493","-3,930886511"
04:33.0,Intra/Inter Cloud,"134,8166602","-3,665216933"
04:33.0,Negative Cloud to Ground,"134,8065765","-3,794979385"
04:33.0,Negative Cloud to Ground,"134,7356156","-3,752914894"
04:54.0,Intra/Inter Cloud,"135,1226949","-3,943448513"
05:31.0,Intra/Inter Cloud,"134,6343471","-4,122113153"
05:32.0,Negative Cloud to Ground,"134,9449762","-4,007896612"
05:32.0,Negative Cloud to Ground,"135,0363811","-4,054413494"
05:50.0,Intra/Inter Cloud,"134,771322","-3,691267135"
05:50.0,Positive Cloud to Ground,"134,5448394","-3,792425855"
05:51.0,Negative Cloud to Ground,"134,6172578","-3,764224935"
05:51.0,Negative Cloud to Ground,"134,8235206","-3,680329186"
05:59.0,Intra/Inter Cloud,"134,4977917","-3,865415871"
06:48.0,Positive Cloud to Ground,"134,5382681","-3,489375271"
06:49.0,Positive Cloud to Ground,"134,950556","-4,198030354"
07:11.0,Intra/Inter Cloud,"134,7640427","-4,140073706"
07:11.0,Intra/Inter Cloud,"134,8374449","-3,870360857"
07:11.0,Negative Cloud to Ground,"134,7965842","-3,993471054"
07:15.0,Positive Cloud to Ground,"134,8608164","-3,592827237"
07:49.0,Positive Cloud to Ground,"134,7991718","-3,650574197"
07:57.0,Negative Cloud to Ground,"134,5403215","-2,422033753"
07:58.0,Negative Cloud to Ground,"134,6380587","-2,388214129"
09:03.0,Intra/Inter Cloud,"134,8103869","-4,2190769"
09:50.0,Intra/Inter Cloud,"134,6092688","-4,056704005"
09:50.0,Intra/Inter Cloud,"134,8806634","-4,062721447"
09:50.0,Negative Cloud to Ground,"134,9219537","-4,170229801"
09:50.0,Negative Cloud to Ground,"134,85225","-4,213133647"
09:50.0,Negative Cloud to Ground,"134,6930715","-4,233276406"
09:50.0,Negative Cloud to Ground,"134,7437762","-4,274694302"
09:50.0,Intra/Inter Cloud,"134,8606054","-4,149907466"
10:21.0,Intra/Inter Cloud,"134,745878","-4,055126404"
10:21.0,Intra/Inter Cloud,"134,6843258","-4,082915781"
11:32.0,Intra/Inter Cloud,"134,7128912","-4,017507413"
11:44.0,Negative Cloud to Ground,"134,647332","-4,153549881"
11:44.0,Negative Cloud to Ground,"134,6448789","-4,169760379"
11:44.0,Negative Cloud to Ground,"134,7718977","-4,22175826"
11:44.0,Negative Cloud to Ground,"134,7495636","-4,232629309"
12:14.0,Negative Cloud to Ground,"134,6227386","-3,855923393"
12:41.0,Intra/Inter Cloud,"134,6590639","-4,158291936"
12:41.0,Negative Cloud to Ground,"134,6394639","-4,075683103"
12:41.0,Negative Cloud to Ground,"134,7206393","-4,067550944"
12:41.0,Negative Cloud to Ground,"134,8933735","-4,13797525"
12:41.0,Intra/Inter Cloud,"134,8279675","-4,126833539"
12:42.0,Negative Cloud to Ground,"134,7863849","-4,132648794"
13:02.0,Negative Cloud to Ground,"134,8322191","-3,757530617"
